frame_timecode,frame_id,figure_index,fig_box_min_x,fig_box_min_y,fig_box_max_x,fig_box_max_y,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
1.04,26,1,293.8704,120.25478,351.39426,332.82062,318.16925,138.71707,323.12823,134.72523,315.1939,133.72726,330.07074,138.71707,310.23492,138.71707,338.00507,165.66203,302.3006,162.66815,344.94763,195.60089,294.36627,177.63757,345.9394,216.55807,294.36627,174.64369,331.06256,215.56012,309.24316,212.56624,330.07074,263.46228,310.23492,260.46838,327.0954,311.36444,312.2185,307.3726
1.08,27,1,292.79968,120.6531,349.40137,332.53073,320.1075,139.14243,325.07257,135.14473,316.13547,134.14531,332.02365,139.14243,310.1774,139.14243,336.9887,165.12741,302.2333,163.12857,341.95377,196.10951,293.2962,178.1199,343.9398,220.09566,315.14246,155.13318,331.03064,218.09682,309.1844,215.09854,330.03763,264.07025,311.1704,261.072,326.06558,313.04196,313.15643,310.0437
1.12,28,1,296.42578,120.35425,349.79956,333.27673,320.64166,138.84752,325.58368,134.84897,316.68805,133.84933,332.5025,139.84715,309.76923,138.84752,337.44452,165.83769,303.8388,162.83878,344.36334,196.8264,296.91998,185.83041,344.36334,215.81949,296.91998,208.82204,331.5141,219.81804,308.78082,218.8184,329.5373,263.80203,310.75763,260.8031,326.57208,309.78528,312.73444,308.78564
1.16,29,1,295.98047,119.22258,347.94238,329.80878,321.4618,138.68434,326.45813,135.69022,317.46472,133.69414,332.45374,141.67845,311.46912,138.68434,337.45007,164.63335,305.4735,161.63924,344.44495,193.57648,296.4801,183.59608,319.46326,160.64119,299.4779,213.53725,331.45447,220.52351,309.47058,219.52548,330.4552,262.44116,310.46985,262.44116,327.4574,311.34506,313.46765,309.34897
1.2,30,1,295.0591,120.22761,350.39096,329.3142,321.24292,138.64714,326.1833,135.66019,317.29065,134.66454,333.09976,141.6341,311.36224,138.64714,338.0401,168.51666,304.44577,164.53406,341.99237,198.38617,295.55316,179.46881,340.01624,206.35138,299.50543,214.31659,333.09976,221.28613,308.39804,220.29048,330.13556,265.09476,311.36224,263.10345,327.17136,311.89032,313.33838,310.89468
1.24,31,1,295.88443,120.489395,349.40372,325.41205,322.14853,138.98242,327.104,135.98355,318.18414,134.98392,333.0506,141.98128,312.23755,138.98242,338.0061,164.97261,306.29095,160.97412,348.90817,190.9628,296.37997,185.96468,321.15744,160.97412,315.21085,153.97676,332.0595,219.95186,308.27316,218.95222,330.0773,263.93524,311.24646,262.93564,327.104,310.9175,313.22864,308.91827
1.28,32,1,295.8915,117.071945,348.0988,325.4496,322.9802,139.50494,327.9054,136.51389,319.04,135.51686,333.81567,143.49303,313.12976,139.50494,338.74088,165.42752,305.24942,160.44241,347.60626,184.37094,296.38403,185.36797,323.96524,160.44241,311.15967,146.4841,331.84558,218.2697,308.20456,217.27267,329.8755,263.1357,310.17462,262.13867,326.92035,309.99576,314.1148,309.99576
1.32,33,1,291.1446,120.303795,350.8225,331.95355,322.4755,139.77158,327.44867,137.77489,319.4916,134.77985,333.41644,144.76332,313.5238,138.77322,336.40036,169.72202,304.5721,161.73523,312.52917,184.69724,291.6419,168.72366,311.53455,183.69888,302.58286,176.71045,331.4272,213.64932,308.55066,212.65097,329.43793,263.5667,310.53992,260.5717,326.45404,312.48575,313.5238,310.48907
1.36,34,1,290.41537,122.66442,349.6569,333.36267,323.49188,141.13797,327.4413,138.14226,320.52982,134.14798,333.36548,146.13081,313.61832,140.13939,333.36548,172.09363,305.71942,163.1065,333.36548,182.07933,305.71942,174.09077,323.49188,169.09792,311.6436,145.13225,331.39075,214.03357,308.68152,213.03499,329.41605,264.96063,310.65622,261.9649,326.45398,309.89627,312.63095,309.89627
1.4,35,1,292.6011,122.53619,351.0696,331.88052,324.80832,140.97842,329.7633,137.9878,321.83536,134.00027,334.71826,144.96594,314.8984,136.99092,332.73627,168.891,305.9795,156.92847,327.7813,178.85979,293.0966,173.8754,317.8714,155.9316,310.93445,161.91286,330.75427,213.7505,306.9705,212.75363,327.7813,261.60065,310.93445,260.60376,326.7903,312.4414,312.91644,309.45078
1.44,36,1,293.0823,119.06373,348.00308,332.01288,321.54126,134.56003,325.5355,133.56027,319.54413,131.56075,335.5211,142.55812,316.54846,135.55978,335.5211,164.55287,311.55566,152.55573,344.50812,179.54929,304.56573,174.55048,315.5499,142.55812,314.55133,142.55812,329.52972,213.54117,307.56143,211.54164,327.53262,263.52924,310.5571,260.52994,326.53406,312.51755,313.55276,311.51776
1.48,37,1,293.7751,118.30003,349.71094,332.40967,320.24472,134.7317,325.239,132.73999,320.24472,130.74828,333.22983,137.71928,318.247,134.7317,334.2287,161.61989,316.2493,149.66959,314.25162,175.56192,312.2539,177.55363,317.24817,144.69029,316.2493,144.69029,328.23557,217.38799,306.26077,213.40454,326.23785,265.1892,309.25732,262.20163,326.23785,312.99042,313.25275,310.00284
1.52,38,1,292.81677,118.39453,349.81354,328.27258,325.31494,136.88379,329.3147,136.88379,324.31497,132.88611,336.3143,144.87914,319.31528,134.88495,321.31516,154.87334,313.3156,154.87334,313.3156,174.86172,307.31595,181.85765,318.31534,144.87914,316.31543,145.87856,328.31476,216.83733,305.31607,215.8379,326.31488,264.80945,309.31583,263.81003,326.31488,312.7816,314.31555,312.7816
